Timestamp,Text,SHA-256 Hash,Rarity
2023-12-17 02:18:33,"All, save I, were at first experienced on this occasion.",bfe637caa354b62f2a9791413c438d72e81488880c88229398b960bac40df98e,common
2023-12-17 02:18:33,Not the ten-thousandth portion of happiness or misery.,f5de4d61570d588884ab9b786b39f06658e989517733d393d95be48f520691d9,common
2023-12-17 02:18:33,Not the ten-thousandth portion of happiness or misery.,f5de4d61570d588884ab9b786b39f06658e989517733d393d95be48f520691d9,common
2023-12-17 02:18:33,What would be instantly filled with the force of the south!,4063eca4179a138888977dad34a4f1007b4185d8c4ad7b74a622c39e0b67261f,common
2023-12-17 02:18:33,I was more than a league from the eye.,a137cb8c7e10c02411f1c425f71cb766d64050cf302d913c88887b1cb769ff9d,common
2023-12-17 02:18:33,My abhorrence of this visit was torture to him.,5f15609d7405c40e67bb6af90a0bbf5899588ef3a2e5a1658bd3e23bb488883d,common
2023-12-17 02:18:33,"By very slow degrees, and with a stag-like swiftness.",6a7d7d37891550025a2991dd55408e6c0fa3fac588887e79ded523bdcf15b70c,common
2023-12-17 02:18:33,But I was in the latter city was more than men.,03e157134d542be190a7e6ec6e810324a29c432456c439f3a8de8888bd97c27d,common
2023-12-17 02:18:33,Men who before this period I had just landed.,76fb5ca0148428371159b33c86c94fb38364b9ae48888e9574080a638fc9d642,common
2023-12-17 02:18:33,No mortal could support the horror and hatred.,6d18dd4598c68888a749fe67deb60a33f6374c0b5388e9435d018a769ca46a7f,common
2023-12-17 02:18:33,I alighted and was about to explore.,e3e82188884478c0ab49feb8c894025d25650dcdf41e0d248460723c9a265a63,common
2023-12-17 02:18:33,"All there was an air of exultation, I with a sensation of alarm.",cfedc65a32c725073c03418085f08888206d3c7ff3207df8836972113537dd56,common
2023-12-17 02:18:33,He raised her and dragged her to shore.,7476ddcd23ba2cdc909b0888848f76b92be4f6079af9937da0654ead700f77e5,common
2023-12-17 02:18:33,"By very slow degrees, and with a stag-like swiftness.",6a7d7d37891550025a2991dd55408e6c0fa3fac588887e79ded523bdcf15b70c,common
2023-12-17 02:18:33,Tears also gushed from my studies discontented and unsatisfied.,6216b5979c0f0a161c1d2ea71291d16c713f60d789d5e16ada47ac508888c75d,common
2023-12-17 02:18:33,Do not return to their arms.,ad6dccd8f88889db004aecd87a6695766fb5e86d5c53c2b5e05d598fd150f23f,common
2023-12-17 02:18:33,Let him live with me a vengeance for thy crimes.,5f60a5664b42ad1c3642a97a23bc258888b242da9860e1c7cec9bfff0f5cdce8,common
2023-12-17 02:18:33,He looked upon the dusky plain.,ad00d24531f5288886860f9ca93de789f448984843ee0395e6c4142295121b24,common
2023-12-17 02:18:33,"She moved again, and I remained motionless.",fd43ced4dbbcb0f46f080e7180a8888125d933dce6458eeaf026e45776d21b51,common
2023-12-17 02:18:33,Tears also gushed from my studies discontented and unsatisfied.,6216b5979c0f0a161c1d2ea71291d16c713f60d789d5e16ada47ac508888c75d,common
2023-12-17 02:18:33,"By very slow degrees, and with a stag-like swiftness.",6a7d7d37891550025a2991dd55408e6c0fa3fac588887e79ded523bdcf15b70c,common
